일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도,합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
2018-01-11,-5.4,0,1.5,0.465,8.7,7.78,0
2018-02-16,3.4,0,0.8,0.309,5.2,6.63,0
2018-03-04,9.4,13.1,0.8,0.859,0,2.4,0
2018-03-28,13.4,0,1.2,0.611,10.7,13.74,0
2018-04-27,16.1,0,1.1,0.583,11.1,24,0
2018-05-11,16.5,0,1.2,0.603,10.3,24.66,0
2018-05-30,22.1,0,1.2,0.765,6.1,18.86,0
2018-06-12,18.5,19.4,0.9,0.83,1.3,9.28,0
2018-06-25,24.6,0,1.2,0.65,10.2,22.89,0
2018-07-28,28.6,0,1.1,0.779,3.8,13.54,0
2018-08-16,25.6,29.7,1.5,0.809,1.1,10.25,8.9
2018-09-14,21.4,24.7,0.5,0.89,0,3.32,8.5
2018-09-25,16.6,0,1,0.651,10.6,21.31,2.4
2018-10-22,12.6,0,0.3,0.75,4.1,10.4,7.1
2018-11-15,8.7,0,0.4,0.749,8.8,12.61,4.3
2018-12-07,0.2,0,3.1,0.338,2.4,7.3,9.1
