瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2)
192,柳林,2017-01-01,1.6,0,0.4,71.9,7.9,7.07
192,柳林,2017-01-02,4.4,,0.5,72.8,6.9,6.47
192,柳林,2017-01-03,2.5,,0.4,68.4,6.6,6.96
192,柳林,2017-01-04,1.8,,0.2,71.9,6.4,5.65
192,柳林,2017-01-05,4.5,,0.9,68.1,2,3.85
192,柳林,2017-01-06,5.7,,1.2,60.5,7.6,7.32
192,柳林,2017-01-07,3.8,0,0.4,69.9,2.3,4.25
192,柳林,2017-01-08,6.9,2.9,0.7,76.4,3.3,5.04
192,柳林,2017-01-09,4.7,,1.7,57.4,7.5,7.03
192,柳林,2017-01-10,0.8,,1.1,55.8,8.7,8.37
192,柳林,2017-01-11,-0.1,,1.4,33,8.6,7.67
192,柳林,2017-01-12,0.8,,1.4,55.3,6.9,7.57
192,柳林,2017-01-13,-0.2,,2,44.9,7.3,6.54
192,柳林,2017-01-14,-2.8,,3,34.3,8.8,8.76
192,柳林,2017-01-15,-2.8,,1.4,32.4,8.9,8.85
192,柳林,2017-01-16,-2.4,,0.9,39.8,8.8,8.71
192,柳林,2017-01-17,-1.8,,0.4,50,4.5,5.53
192,柳林,2017-01-18,1.2,,0.9,49.4,6.6,6.57
192,柳林,2017-01-19,-0.5,,0.4,59.1,7.6,6.61
192,柳林,2017-01-20,-0.6,,2.5,50.1,7.1,6.31
192,柳林,2017-01-21,-1.9,,1.2,55.1,7.9,7.13
192,柳林,2017-01-22,-0.7,,2.5,42.4,8.8,8.93
192,柳林,2017-01-23,-3.5,,1.8,39.8,9,9.12
192,柳林,2017-01-24,-3.4,,1.2,44.1,9.2,9.66
192,柳林,2017-01-25,-3.1,,0.5,49,9.2,9.7
192,柳林,2017-01-26,-0.2,,0.8,45.8,9,9.49
192,柳林,2017-01-27,4.7,,1.9,33.6,6.6,8.51
192,柳林,2017-01-28,1.9,,0.7,45.1,8.8,9.22
192,柳林,2017-01-29,3.6,4.6,0.6,80.9,0.1,1.1
192,柳林,2017-01-30,1.5,0.6,2.7,47.9,8.9,9.47
192,柳林,2017-01-31,-1.1,,0.6,50.9,9.4,9.43
192,柳林,2017-02-01,0.9,,1.8,34.6,7.6,8.89
192,柳林,2017-02-02,0.6,,1.1,37.9,9.5,10.77
192,柳林,2017-02-03,1.1,,0.6,48.8,8.4,8.27
192,柳林,2017-02-04,5.7,1.7,0.7,49.1,3.5,6.29
192,柳林,2017-02-05,6.3,2.7,1.5,67.3,4.6,7.16
192,柳林,2017-02-06,2.1,,1.9,40.9,9.6,10.33
192,柳林,2017-02-07,1.2,,0.6,49.8,5.1,7.56
192,柳林,2017-02-08,2.9,,0.9,45.5,0.6,4.79
192,柳林,2017-02-09,0.1,,3,31.5,8.6,10.65
192,柳林,2017-02-10,-2.4,,2.6,35.9,9.9,10.83
192,柳林,2017-02-11,-1,,2.1,37.4,9.9,11.04
192,柳林,2017-02-12,-0.6,,0.8,48.9,10,11.75
192,柳林,2017-02-13,1.8,,0.7,50,9.4,9.85
192,柳林,2017-02-14,2.2,,0.9,49.5,10.1,11.36
192,柳林,2017-02-15,2.2,,0.5,49.6,10,10.84
192,柳林,2017-02-16,6.7,2.5,1,66.6,8.9,9.92
192,柳林,2017-02-17,10.2,0.4,2.2,44.1,8.6,9.67
192,柳林,2017-02-18,2.9,,1.6,19.6,10,11.85
192,柳林,2017-02-19,3.7,,0.9,50.6,8.5,9.93
192,柳林,2017-02-20,7.4,0.4,2.7,45.3,6.9,9.13
192,柳林,2017-02-21,1.6,,0.6,48.3,9.8,11.6
192,柳林,2017-02-22,3.4,30.1,0.4,84.5,0.1,0.85
192,柳林,2017-02-23,4.1,,2.6,42.6,7.1,9.99
192,柳林,2017-02-24,2.5,,2.2,31.1,10.5,12.72
192,柳林,2017-02-25,2.3,,0.8,49.6,10.4,12.14
192,柳林,2017-02-26,3,,0.7,54.5,9.9,9.78
192,柳林,2017-02-27,5.1,,0.8,60.1,8.8,11.29
192,柳林,2017-02-28,5.1,,0.8,55.9,10.4,12.04
192,柳林,2017-03-01,6.5,0.6,1,61.3,7.5,10.01
192,柳林,2017-03-02,4.5,1.3,2.5,50.6,10.4,12.53
192,柳林,2017-03-03,4,,0.9,48.6,10.5,13.2
192,柳林,2017-03-04,5.6,,0.9,57.8,9.8,12.1
192,柳林,2017-03-05,6.3,,0.7,59.4,5.7,8.68
192,柳林,2017-03-06,4.7,,2.5,32.6,10.2,13.65
192,柳林,2017-03-07,1.2,,2,35.4,9.9,13.58
192,柳林,2017-03-08,1,,1.7,47.5,10.4,13.52
192,柳林,2017-03-09,5.1,,2.4,37.5,10.7,13.5
192,柳林,2017-03-10,5.6,,1,42,10.7,13.91
192,柳林,2017-03-11,6.3,,0.9,41.9,10.6,13.27
192,柳林,2017-03-12,8.3,,0.9,49.3,9,12.61
192,柳林,2017-03-13,9.3,,1.2,47.8,8.4,11.42
192,柳林,2017-03-14,8.4,,1.8,43.4,10.5,13.81
192,柳林,2017-03-15,5.5,,1.1,43,10.9,14.17
192,柳林,2017-03-16,6.5,,1,56,6.7,10.01
192,柳林,2017-03-17,6.5,,1,49.5,10.9,13.93
192,柳林,2017-03-18,7.1,,0.7,51.3,5.6,8.84
192,柳林,2017-03-19,8.5,,1,53.8,10.3,13.51
192,柳林,2017-03-20,7.1,7.9,0.8,75.4,0,3.35
192,柳林,2017-03-21,9.2,2.3,1.6,54.4,10.6,14.01
192,柳林,2017-03-22,6.9,,0.8,55.4,4.8,10.4
192,柳林,2017-03-23,9.3,,0.8,49.4,4.6,9.1
192,柳林,2017-03-24,8.1,0,1,61.3,0.7,6.4
192,柳林,2017-03-25,6.3,10.9,1,85.1,0.1,2.66
192,柳林,2017-03-26,6.5,0.7,1.1,78.4,4,9.07
192,柳林,2017-03-27,5.6,,1.2,60.8,8,10.99
192,柳林,2017-03-28,7.4,0.6,1.1,55.6,9.5,13.21
192,柳林,2017-03-29,7,4.5,0.8,86.6,0.2,1.88
192,柳林,2017-03-30,10.6,,1.2,62.4,8.7,14.47
192,柳林,2017-03-31,9.9,2.6,1.1,69.9,1.8,6.82
192,柳林,2017-04-01,7.7,0.6,1.1,78.9,2.9,8.04
192,柳林,2017-04-02,8.4,,1.4,58.8,9.6,14.24
192,柳林,2017-04-03,11,,1.1,45.9,11.6,16.26
192,柳林,2017-04-04,12.6,,1.1,43.5,10.3,14.77
192,柳林,2017-04-05,13.4,48.5,1.3,77.4,0.4,2.39
192,柳林,2017-04-06,15.6,15.7,1.5,86.4,0.2,2.73
192,柳林,2017-04-07,15,,1.2,69.5,8.5,14.38
192,柳林,2017-04-08,16.3,,0.9,62.6,10.3,15.46
192,柳林,2017-04-09,14.9,,1.7,56.4,4,8.77
192,柳林,2017-04-10,13.5,0.1,2.2,45.3,7.9,14.27
192,柳林,2017-04-11,13.2,11.5,1.7,59,6.7,11.61
192,柳林,2017-04-12,14,,2.4,23,9.8,14.98
192,柳林,2017-04-13,13.7,,1.6,42.5,11.7,15.21
192,柳林,2017-04-14,15.2,0,2.1,49,9,12.73
192,柳林,2017-04-15,18,0,1.9,59.8,10.7,15.35
192,柳林,2017-04-16,16.8,,1,62,9.8,15.89
192,柳林,2017-04-17,14.2,16.5,0.8,88.6,0.1,1.16
192,柳林,2017-04-18,14.7,0,1.9,60.4,9,14.52
192,柳林,2017-04-19,14.6,,1.8,36.1,12.2,17.27
192,柳林,2017-04-20,13,0.2,1,52.6,2.3,7.21
192,柳林,2017-04-21,14.3,,1,56.1,8.1,14.93
192,柳林,2017-04-22,12.5,0,0.9,68,8.8,13.48
192,柳林,2017-04-23,14.1,,1.3,63.4,10.8,16.83
192,柳林,2017-04-24,14.6,,1.2,59.9,9.6,16.85
192,柳林,2017-04-25,17.3,0.1,1.3,68.1,4.8,10.61
192,柳林,2017-04-26,14.7,1.7,0.9,71.6,3.7,8.05
192,柳林,2017-04-27,14.7,,2,29.5,9.5,15.71
192,柳林,2017-04-28,15.4,,2,38.8,12.1,17.2
192,柳林,2017-04-29,17.6,,1.5,41,12.3,17.27
192,柳林,2017-04-30,19.6,,1.5,45.6,11.5,15.76
192,柳林,2017-05-01,17.1,,1.4,52.6,11.7,16.11
192,柳林,2017-05-02,15.7,,0.9,49.6,9.2,15.19
192,柳林,2017-05-03,16.6,,1,54.3,12.5,17.78
192,柳林,2017-05-04,17.9,0.6,1.1,61,10.2,14.53
192,柳林,2017-05-05,17.5,4,0.6,88.3,0.2,3.97
192,柳林,2017-05-06,17.6,,1.2,41.9,7,14.46
192,柳林,2017-05-07,17.6,,1.7,40.6,12.3,17.37
192,柳林,2017-05-08,17.7,,1,50.3,5.3,10.81
192,柳林,2017-05-09,13.6,25.3,1,88,0.1,1.63
192,柳林,2017-05-10,16.6,0.1,1.1,74.8,5.3,10.04
192,柳林,2017-05-11,19.9,,1.3,61.6,9.1,15.39
192,柳林,2017-05-12,17,9.1,0.8,85.4,0,2.19
192,柳林,2017-05-13,18.2,,1.3,68.8,10.2,16.87
192,柳林,2017-05-14,17.2,,1.4,42.9,12.9,18.79
192,柳林,2017-05-15,16,,1.1,49,11.4,16.56
192,柳林,2017-05-16,16.5,,1,60.6,8.6,14.65
192,柳林,2017-05-17,17.1,,0.9,60.5,10.8,16.44
192,柳林,2017-05-18,18.8,,0.9,58,12.4,18.32
192,柳林,2017-05-19,20.3,,1,53.8,13,18.69
192,柳林,2017-05-20,19.6,,1.1,52.6,10.6,15.96
192,柳林,2017-05-21,19.3,,1,59.8,9,14.56
192,柳林,2017-05-22,19.6,,1.2,56.6,13,18.65
192,柳林,2017-05-23,18.9,,1,67.6,6.3,12.91
192,柳林,2017-05-24,20.2,3.9,1.1,73.9,5,11.04
192,柳林,2017-05-25,21.5,,1.9,51.9,11,18.44
192,柳林,2017-05-26,17.4,,1.6,43.8,13.3,19.78
192,柳林,2017-05-27,17.5,,1.3,54.1,13.3,19.24
192,柳林,2017-05-28,18.7,,1.2,58,12.4,17.27
192,柳林,2017-05-29,23.5,,1,51.6,12.2,17.94
192,柳林,2017-05-30,23.4,,0.8,51.6,8.2,14
192,柳林,2017-05-31,21.3,0.8,1.4,69.3,7.4,13.78
192,柳林,2017-06-01,23.4,,1.6,58.1,8.8,14.48
192,柳林,2017-06-02,20,,1.8,49.3,13.2,19.1
192,柳林,2017-06-03,21.1,0,1.5,47,11.7,18.43
192,柳林,2017-06-04,19.8,,1.2,46.8,13.1,19.76
192,柳林,2017-06-05,19.5,,1.3,50.5,9.7,15.99
192,柳林,2017-06-06,17.2,10.7,0.9,68.6,0.1,5.38
192,柳林,2017-06-07,19.6,12.6,1.8,72.3,2.9,9.7
192,柳林,2017-06-08,21.3,,1.2,54.6,13.2,19.79
192,柳林,2017-06-09,22.6,,1.4,49.6,11.8,18.29
192,柳林,2017-06-10,22,,1.4,63.8,5.8,13.01
192,柳林,2017-06-11,20.6,2.3,1.5,59,7.2,14.87
192,柳林,2017-06-12,19,,1.4,56.5,7.7,13.86
192,柳林,2017-06-13,18.8,0.3,1.2,65.8,6.5,13.32
192,柳林,2017-06-14,20.9,,1.4,61.1,12.9,19.61
192,柳林,2017-06-15,23.3,,1.2,48.8,12.9,18.62
192,柳林,2017-06-16,21.8,,1.2,57.6,12.5,17.35
192,柳林,2017-06-17,22,,1.3,54.4,12.2,17.49
192,柳林,2017-06-18,22.6,,1.2,58,12.5,18.04
192,柳林,2017-06-19,24.1,,1.4,54.5,12.2,17.52
192,柳林,2017-06-20,21.2,10.3,1,73.3,0.2,5.31
192,柳林,2017-06-21,22.5,,1.3,66.6,7.5,14.33
192,柳林,2017-06-22,23.5,,1.3,62.9,10.9,17.31
192,柳林,2017-06-23,23.8,,1.1,62.9,6.7,11.22
192,柳林,2017-06-24,23.1,,1.2,64.3,5.9,16.62
192,柳林,2017-06-25,23.3,0.5,1.3,71.5,5.3,13.57
192,柳林,2017-06-26,21.7,10.5,0.9,84.5,0,4.13
192,柳林,2017-06-27,22.8,0,1,70.1,1.2,11.07
192,柳林,2017-06-28,23.4,,1.1,66.6,9.1,18.9
192,柳林,2017-06-29,22,4.8,0.8,78.8,0.3,7.27
192,柳林,2017-06-30,24.1,0,1.1,75.9,2.6,11.97
192,柳林,2017-07-01,25.9,,1.8,74,3.2,13.3
192,柳林,2017-07-02,26,1.4,1.5,79.3,0.6,8.01
192,柳林,2017-07-03,26.6,0.3,1.6,72.6,2.1,9.47
192,柳林,2017-07-04,26.1,1.9,1.2,80.5,3.9,13.38
192,柳林,2017-07-05,25.8,17.6,1.2,81.8,6.2,15.67
192,柳林,2017-07-06,24.8,5.2,1,89.6,0.1,6.28
192,柳林,2017-07-07,25.2,0.3,0.9,90.4,0.6,7.86
192,柳林,2017-07-08,25.5,7.1,1,91.9,0.9,6.4
192,柳林,2017-07-09,26.8,,1.2,84.3,7.2,16.33
192,柳林,2017-07-10,26.9,0,1.9,85.8,0.6,7.36
192,柳林,2017-07-11,26.1,0,1.7,78.5,0.9,10.18
192,柳林,2017-07-12,27.4,,1.2,75.6,11.2,20.71
192,柳林,2017-07-13,26.8,,1.1,78.3,10.4,20.76
192,柳林,2017-07-14,26.7,0,1.2,81.9,3.8,13.16
192,柳林,2017-07-15,27,0,1.2,80,0.3,8.22
192,柳林,2017-07-16,28.8,,1.8,73.6,8.9,17.84
192,柳林,2017-07-17,26.6,4.8,1.2,83.1,2,9.87
192,柳林,2017-07-18,26.7,1.9,0.9,83.6,2.5,11.38
192,柳林,2017-07-19,27.8,,1,73.5,9,17.14
192,柳林,2017-07-20,28.5,,1.1,78.1,9.2,18.17
192,柳林,2017-07-21,30.2,,1.4,73.5,10.5,17.83
192,柳林,2017-07-22,30,,1.3,72.9,10.3,18.33
192,柳林,2017-07-23,29,,1.2,78.5,0.1,9.81
192,柳林,2017-07-24,29.7,0.1,0.9,79.4,5.4,13.11
192,柳林,2017-07-25,27.3,17.2,0.9,87.4,1.9,8.24
192,柳林,2017-07-26,26.1,,1.3,69.9,7.4,16.07
192,柳林,2017-07-27,25.7,,1.2,64.1,12.8,22.1
192,柳林,2017-07-28,27.2,,1,68,10.2,19.08
192,柳林,2017-07-29,25.9,,1,80.9,0,5.4
192,柳林,2017-07-30,26.8,,1.2,78.6,4.4,13.87
192,柳林,2017-07-31,26.2,38.2,0.8,87,0.2,7.89
192,柳林,2017-08-01,27.3,,1.2,81.5,7.8,17.69
192,柳林,2017-08-02,26.9,,1.1,81.5,4.3,12.59
192,柳林,2017-08-03,27.5,,1.4,71.8,12.2,19.76
