data,C,mm,ms,Humidity,hr,mj,result
2017-01-01,1.6,0.0,0.4,71.9,7.9,7.07,1181
2017-01-02,4.4,0.0,0.5,72.8,6.9,6.47,1067
2017-01-03,2.5,0.0,0.4,68.4,6.6,6.96,1193
2017-01-04,1.8,0.0,0.2,71.9,6.4,5.65,869
2017-01-05,4.5,0.0,0.9,68.1,2.0,3.85,577
2017-01-06,5.7,0.0,1.2,60.5,7.6,7.32,1197
2017-01-07,3.8,0.0,0.4,69.9,2.3,4.25,608
2017-01-08,6.9,2.9,0.7,76.4,3.3,5.04,794
2017-01-09,4.7,0.0,1.7,57.4,7.5,7.03,1094
2017-01-10,0.8,0.0,1.1,55.8,8.7,8.37,1321
2017-01-11,-0.1,0.0,1.4,33.0,8.6,7.67,1232
2017-01-12,0.8,0.0,1.4,55.3,6.9,7.57,792
2017-01-13,-0.2,0.0,2.0,44.9,7.3,6.54,848
2017-01-14,-2.8,0.0,3.0,34.3,8.8,8.76,1442
2017-01-15,-2.8,0.0,1.4,32.4,8.9,8.85,1398
2017-01-16,-2.4,0.0,0.9,39.8,8.8,8.71,1391
2017-01-17,-1.8,0.0,0.4,50.0,4.5,5.53,765
2017-01-18,1.2,0.0,0.9,49.4,6.6,6.57,914
2017-01-19,-0.5,0.0,0.4,59.1,7.6,6.61,1026
2017-01-20,-0.6,0.0,2.5,50.1,7.1,6.31,1056
2017-01-21,-1.9,0.0,1.2,55.1,7.9,7.13,980
2017-01-22,-0.7,0.0,2.5,42.4,8.8,8.93,1444
2017-01-23,-3.5,0.0,1.8,39.8,9.0,9.12,1473
2017-01-24,-3.4,0.0,1.2,44.1,9.2,9.66,1474
2017-01-25,-3.1,0.0,0.5,49.0,9.2,9.7,1409
2017-01-26,-0.2,0.0,0.8,45.8,9.0,9.49,1347
2017-01-27,4.7,0.0,1.9,33.6,6.6,8.51,1400
2017-01-28,1.9,0.0,0.7,45.1,8.8,9.22,1344
2017-01-29,3.6,4.6,0.6,80.9,0.1,1.1,176
2017-01-30,1.5,0.6,2.7,47.9,8.9,9.47,1499
2017-01-31,-1.1,0.0,0.6,50.9,9.4,9.43,1431
2017-02-01,0.9,0.0,1.8,34.6,7.6,8.89,1458
2017-02-02,0.6,0.0,1.1,37.9,9.5,10.77,1553
2017-02-03,1.1,0.0,0.6,48.8,8.4,8.27,1184
2017-02-04,5.7,1.7,0.7,49.1,3.5,6.29,846
2017-02-05,6.3,2.7,1.5,67.3,4.6,7.16,637
2017-02-06,2.1,0.0,1.9,40.9,9.6,10.33,1544
2017-02-07,1.2,0.0,0.6,49.8,5.1,7.56,1148
2017-02-08,2.9,0.0,0.9,45.5,0.6,4.79,720
2017-02-09,0.1,0.0,3.0,31.5,8.6,10.65,1647
2017-02-10,-2.4,0.0,2.6,35.9,9.9,10.83,1639
2017-02-11,-1.0,0.0,2.1,37.4,9.9,11.04,1661
2017-02-12,-0.6,0.0,0.8,48.9,10.0,11.75,1624
2017-02-13,1.8,0.0,0.7,50.0,9.4,9.85,1325
2017-02-14,2.2,0.0,0.9,49.5,10.1,11.36,1557
2017-02-15,2.2,0.0,0.5,49.6,10.0,10.84,1492
2017-02-16,6.7,2.5,1.0,66.6,8.9,9.92,1251
2017-02-17,10.2,0.4,2.2,44.1,8.6,9.67,1457
2017-02-18,2.9,0.0,1.6,19.6,10.0,11.85,1693
2017-02-19,3.7,0.0,0.9,50.6,8.5,9.93,1455
2017-02-20,7.4,0.4,2.7,45.3,6.9,9.13,1493
2017-02-21,1.6,0.0,0.6,48.3,9.8,11.6,1606
2017-02-22,3.4,30.1,0.4,84.5,0.1,0.85,187
2017-02-23,4.1,0.0,2.6,42.6,7.1,9.99,1299
2017-02-24,2.5,0.0,2.2,31.1,10.5,12.72,1843
2017-02-25,2.3,0.0,0.8,49.6,10.4,12.14,1651
2017-02-26,3.0,0.0,0.7,54.5,9.9,9.78,1357
2017-02-27,5.1,0.0,0.8,60.1,8.8,11.29,1553
2017-02-28,5.1,0.0,0.8,55.9,10.4,12.04,1659
2017-03-01,6.5,0.6,1.0,61.3,7.5,10.01,1380
2017-03-02,4.5,1.3,2.5,50.6,10.4,12.53,1790
2017-03-03,4.0,0.0,0.9,48.6,10.5,13.2,1731
2017-03-04,5.6,0.0,0.9,57.8,9.8,12.1,1706
2017-03-05,6.3,0.0,0.7,59.4,5.7,8.68,1319
2017-03-06,4.7,0.0,2.5,32.6,10.2,13.65,1866
2017-03-07,1.2,0.0,2.0,35.4,9.9,13.58,1875
2017-03-08,1.0,0.0,1.7,47.5,10.4,13.52,1841
2017-03-09,5.1,0.0,2.4,37.5,10.7,13.5,1764
2017-03-10,5.6,0.0,1.0,42.0,10.7,13.91,1804
2017-03-11,6.3,0.0,0.9,41.9,10.6,13.27,1678
2017-03-12,8.3,0.0,0.9,49.3,9.0,12.61,1507
2017-03-13,9.3,0.0,1.2,47.8,8.4,11.42,1409
2017-03-14,8.4,0.0,1.8,43.4,10.5,13.81,1815
2017-03-15,5.5,0.0,1.1,43.0,10.9,14.17,1797
2017-03-16,6.5,0.0,1.0,56.0,6.7,10.01,1483
2017-03-17,6.5,0.0,1.0,49.5,10.9,13.93,1728
2017-03-18,7.1,0.0,0.7,51.3,5.6,8.84,1268
2017-03-19,8.5,0.0,1.0,53.8,10.3,13.51,1695
2017-03-20,7.1,7.9,0.8,75.4,0.0,3.35,510
2017-03-21,9.2,2.3,1.6,54.4,10.6,14.01,1761
2017-03-22,6.9,0.0,0.8,55.4,4.8,10.4,1409
2017-03-23,9.3,0.0,0.8,49.4,4.6,9.1,1280
2017-03-24,8.1,0.0,1.0,61.3,0.7,6.4,870
2017-03-25,6.3,10.9,1.0,85.1,0.1,2.66,570
2017-03-26,6.5,0.7,1.1,78.4,4.0,9.07,1097
2017-03-27,5.6,0.0,1.2,60.8,8.0,10.99,1363
2017-03-28,7.4,0.6,1.1,55.6,9.5,13.21,1654
2017-03-29,7.0,4.5,0.8,86.6,0.2,1.88,314
2017-03-30,10.6,0.0,1.2,62.4,8.7,14.47,1819
2017-03-31,9.9,2.6,1.1,69.9,1.8,6.82,778
2017-04-01,7.7,0.6,1.1,78.9,2.9,8.04,1103
2017-04-02,8.4,0.0,1.4,58.8,9.6,14.24,1628
2017-04-03,11.0,0.0,1.1,45.9,11.6,16.26,1977
2017-04-04,12.6,0.0,1.1,43.5,10.3,14.77,1781
2017-04-05,13.4,48.5,1.3,77.4,0.4,2.39,256
2017-04-06,15.6,15.7,1.5,86.4,0.2,2.73,222
2017-04-07,15.0,0.0,1.2,69.5,8.5,14.38,1638
2017-04-08,16.3,0.0,0.9,62.6,10.3,15.46,1824
2017-04-09,14.9,0.0,1.7,56.4,4.0,8.77,1211
2017-04-10,13.5,0.1,2.2,45.3,7.9,14.27,1810
2017-04-11,13.2,11.5,1.7,59.0,6.7,11.61,1587
2017-04-12,14.0,0.0,2.4,23.0,9.8,14.98,1863
2017-04-13,13.7,0.0,1.6,42.5,11.7,15.21,1768
2017-04-14,15.2,0.0,2.1,49.0,9.0,12.73,1908
2017-04-15,18.0,0.0,1.9,59.8,10.7,15.35,1888
2017-04-16,16.8,0.0,1.0,62.0,9.8,15.89,1794
2017-04-17,14.2,16.5,0.8,88.6,0.1,1.16,189
2017-04-18,14.7,0.0,1.9,60.4,9.0,14.52,1865
2017-04-19,14.6,0.0,1.8,36.1,12.2,17.27,2121
2017-04-20,13.0,0.2,1.0,52.6,2.3,7.21,987
2017-04-21,14.3,0.0,1.0,56.1,8.1,14.93,1804
2017-04-22,12.5,0.0,0.9,68.0,8.8,13.48,1550
2017-04-23,14.1,0.0,1.3,63.4,10.8,16.83,2036
2017-04-24,14.6,0.0,1.2,59.9,9.6,16.85,2158
2017-04-25,17.3,0.1,1.3,68.1,4.8,10.61,1357
2017-04-26,14.7,1.7,0.9,71.6,3.7,8.05,1025
2017-04-27,14.7,0.0,2.0,29.5,9.5,15.71,1876
2017-04-28,15.4,0.0,2.0,38.8,12.1,17.2,2043
2017-04-29,17.6,0.0,1.5,41.0,12.3,17.27,2079
2017-04-30,19.6,0.0,1.5,45.6,11.5,15.76,1964
2017-05-01,17.1,0.0,1.4,52.6,11.7,16.11,1636
2017-05-02,15.7,0.0,0.9,49.6,9.2,15.19,1816
2017-05-03,16.6,0.0,1.0,54.3,12.5,17.78,2082
