지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
192,진주,2019-01-01,-1.300 ,,0.900 ,50.400 ,7.700 ,10.830 
192,진주,2019-01-02,-0.600 ,,1.000 ,48.800 ,8.500 ,11.760 
192,진주,2019-01-03,-1.800 ,,0.400 ,50.000 ,8.500 ,12.460 
192,진주,2019-01-04,-0.400 ,,0.300 ,45.800 ,3.300 ,6.190 
192,진주,2019-01-05,2.300 ,,0.800 ,48.000 ,7.400 ,10.560 
192,진주,2019-01-06,0.000 ,,0.500 ,38.300 ,7.800 ,11.530 
192,진주,2019-01-07,0.100 ,,0.600 ,44.000 ,8.500 ,10.750 
192,진주,2019-01-08,0.800 ,,1.300 ,44.000 ,8.500 ,11.120 
192,진주,2019-01-09,-0.400 ,,1.000 ,38.800 ,4.800 ,8.810 
192,진주,2019-01-10,2.500 ,,1.300 ,47.400 ,6.800 ,10.720 
192,진주,2019-01-11,2.400 ,0.000 ,0.600 ,64.100 ,7.100 ,10.200 
192,진주,2019-01-12,3.700 ,4.000 ,0.600 ,83.600 ,3.200 ,6.360 
192,진주,2019-01-13,1.600 ,,0.400 ,76.600 ,7.100 ,10.950 
192,진주,2019-01-14,1.200 ,,0.400 ,65.900 ,7.900 ,11.270 
192,진주,2019-01-15,2.200 ,,1.200 ,55.900 ,7.500 ,9.790 
192,진주,2019-01-16,-0.800 ,,1.500 ,30.100 ,8.800 ,12.950 
192,진주,2019-01-17,0.000 ,,1.200 ,51.500 ,8.800 ,13.320 
192,진주,2019-01-18,0.700 ,,0.500 ,56.600 ,8.800 ,13.350 
192,진주,2019-01-19,3.700 ,0.000 ,0.600 ,61.600 ,4.300 ,8.710 
192,진주,2019-01-20,3.500 ,0.000 ,1.800 ,49.400 ,8.200 ,12.390 
192,진주,2019-01-21,-0.500 ,,0.700 ,55.100 ,9.000 ,13.560 
192,진주,2019-01-22,0.500 ,,0.600 ,62.300 ,9.000 ,13.100 
192,진주,2019-01-23,1.700 ,,0.700 ,55.800 ,9.000 ,12.270 
192,진주,2019-01-24,0.800 ,,0.600 ,50.900 ,9.000 ,14.360 
192,진주,2019-01-25,0.400 ,,1.400 ,45.100 ,3.900 ,8.140 
192,진주,2019-01-26,-0.300 ,,2.200 ,27.600 ,9.200 ,14.240 
192,진주,2019-01-27,-1.400 ,,0.700 ,48.300 ,9.200 ,14.480 
192,진주,2019-01-28,1.700 ,,1.600 ,44.900 ,8.400 ,12.450 
192,진주,2019-01-29,0.100 ,,0.700 ,49.500 ,9.200 ,14.080 
192,진주,2019-01-30,3.800 ,,0.600 ,46.500 ,4.400 ,10.540 
192,진주,2019-01-31,0.700 ,9.500 ,1.000 ,71.600 ,0.700 ,2.330 
192,진주,2019-02-01,-1.000 ,,1.000 ,59.500 ,9.400 ,14.940 
192,진주,2019-02-02,1.400 ,0.000 ,0.600 ,65.400 ,9.300 ,14.390 
192,진주,2019-02-03,6.800 ,13.500 ,1.200 ,82.500 ,0.100 ,2.270 
192,진주,2019-02-04,4.800 ,,2.100 ,31.500 ,8.800 ,14.690 
192,진주,2019-02-05,2.400 ,,0.600 ,49.100 ,9.000 ,14.870 
192,진주,2019-02-06,5.100 ,,0.600 ,57.800 ,8.300 ,13.540 
192,진주,2019-02-07,5.200 ,,1.800 ,45.900 ,4.800 ,9.820 
192,진주,2019-02-08,1.700 ,,1.300 ,23.900 ,7.900 ,14.050 
192,진주,2019-02-09,1.200 ,,1.900 ,28.300 ,7.900 ,13.560 
192,진주,2019-02-10,2.100 ,,1.000 ,35.500 ,5.600 ,9.930 
192,진주,2019-02-11,1.100 ,,1.800 ,34.400 ,9.800 ,15.780 
192,진주,2019-02-12,0.900 ,,0.700 ,48.000 ,8.800 ,14.930 
192,진주,2019-02-13,3.200 ,,1.400 ,34.100 ,9.600 ,15.000 
192,진주,2019-02-14,2.500 ,,1.000 ,37.000 ,6.400 ,12.910 
192,진주,2019-02-15,4.100 ,,0.800 ,52.300 ,3.000 ,10.060 
192,진주,2019-02-16,1.800 ,,1.800 ,44.300 ,8.500 ,15.140 
192,진주,2019-02-17,0.700 ,,0.800 ,41.100 ,10.100 ,17.370 
192,진주,2019-02-18,2.300 ,0.000 ,0.500 ,44.000 ,0.600 ,6.560 
192,진주,2019-02-19,4.200 ,29.000 ,0.500 ,85.900 ,0.000 ,4.300 
192,진주,2019-02-20,4.500 ,,1.300 ,58.500 ,9.600 ,16.610 
